time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-24T01:23:16.859Z,28.5199,104.7971,10,4.6,mb,,96,4.456,1.21,us,us600044z8,2019-06-24T02:03:59.040Z,"10km NE of Xunchang, China",earthquake,2.6,1.9,0.063,75,reviewed,us,us
2019-06-23T23:35:08.596Z,29.9325,105.0694,10,4.6,mb,,118,3.849,0.76,us,us600044yj,2019-06-24T01:29:07.040Z,"26km NE of Chonglong, China",earthquake,12.5,1.9,0.051,117,reviewed,us,us
2019-06-23T00:28:18.935Z,28.5145,104.9461,10,4.9,mb,,44,7.22,0.72,us,us600044qx,2019-06-23T00:48:14.040Z,"7km SSE of Changning, China",earthquake,8,1.9,0.041,189,reviewed,us,us
2019-06-22T14:29:55.811Z,28.4545,104.8963,10,5.3,mww,,79,15.954,0.87,us,us600044mq,2019-06-23T16:54:33.351Z,"13km S of Changning, China",earthquake,11.1,1.9,0.073,18,reviewed,us,us
2019-06-17T23:34:34.313Z,28.3971,104.9821,10,5.2,mb,,17,4.361,0.57,us,us6000425j,2019-06-21T03:55:35.536Z,"20km SSE of Changning, China",earthquake,7.3,1.7,0.029,389,reviewed,us,us
2019-06-17T21:03:26.483Z,28.4674,104.9396,10,4.9,mb,,25,4.364,1.04,us,us6000422t,2019-06-17T21:54:25.040Z,"12km S of Changning, China",earthquake,7.7,1.8,0.043,172,reviewed,us,us
2019-06-17T16:37:56.140Z,28.454,104.9589,10,4.9,mb,,36,4.355,0.83,us,us600041t4,2019-06-17T17:19:42.040Z,"14km SSE of Changning, China",earthquake,8.2,1.9,0.043,167,reviewed,us,us
2019-06-17T16:29:08.778Z,28.5018,104.9407,10,4.7,mb,,36,4.349,0.8,us,us600041sv,2019-06-17T18:26:31.040Z,"8km SSE of Changning, China",earthquake,7.8,1.9,0.057,95,reviewed,us,us
2019-06-17T15:36:02.662Z,28.441,104.8783,10,5.2,mww,,17,4.424,0.63,us,us600041sa,2019-06-18T04:37:28.784Z,"15km SSW of Changning, China",earthquake,7,1.8,0.073,18,reviewed,us,us
2019-06-17T14:55:45.416Z,28.4051,104.9572,10,5.8,mww,,18,4.377,0.7,us,us600041ry,2019-06-22T15:11:11.726Z,"19km S of Changning, China",earthquake,7.1,1.8,0.061,26,reviewed,us,us
2019-05-15T20:33:37.449Z,28.1566,103.6521,37.68,4.8,mb,,30,5.525,0.6,us,usd0009i8f,2019-06-11T23:16:44.480Z,"8km SE of Xiluodu, China",earthquake,7.8,6.5,0.042,177,reviewed,us,us
2019-05-02T07:57:58.857Z,30.4709,103.1619,10,4.7,mb,,34,5.475,0.62,us,us70003fk8,2019-05-22T08:24:31.040Z,"29km WNW of Linqiong, China",earthquake,8.1,1.9,0.055,102,reviewed,us,us
2019-04-24T15:55:29.327Z,28.308,103.4269,10,4.5,mb,,76,5.65,0.77,us,us70003bf3,2019-05-07T05:13:47.040Z,"14km WNW of Jincheng, China",earthquake,9.2,1.5,0.096,32,reviewed,us,us
2019-04-01T03:11:10.717Z,32.2365,101.8926,10,4.5,mb,,72,6.795,0.88,us,us2000k8bn,2019-06-08T20:51:30.040Z,"40km NNW of Barkam, China",earthquake,8.5,1.9,0.077,49,reviewed,us,us
2019-03-14T05:32:44.138Z,35.0337,101.8413,10,4.9,mb,,37,8.007,0.57,us,us1000jfb1,2019-06-01T21:24:07.040Z,"41km WSW of Duowa, China",earthquake,8.3,1.9,0.055,105,reviewed,us,us
2019-02-25T05:15:59.850Z,29.4699,104.6093,10,4.9,mb,,23,4.318,0.54,us,us2000jmpz,2019-05-11T17:40:51.040Z,"8km SW of Yanling, China",earthquake,6.7,1.8,0.038,217,reviewed,us,us
2019-02-25T00:40:27.400Z,29.4709,104.5609,10,4.6,mb,,27,4.359,0.68,us,us2000jmlw,2019-05-11T17:40:51.040Z,"11km SW of Yanling, China",earthquake,7,1.8,0.041,180,reviewed,us,us
2019-02-23T21:38:10.120Z,29.497,104.5382,10,4.9,mb,,24,4.373,0.52,us,us2000jm6f,2019-05-11T17:40:47.040Z,"12km WSW of Yanling, China",earthquake,7.5,1.8,0.05,123,reviewed,us,us
2019-01-15T15:52:24.750Z,28.1278,104.9626,10,4.5,mb,,96,4.502,0.62,us,us2000jb8l,2019-04-05T21:41:03.040Z,"30km N of Zhaxi, China",earthquake,9.3,1.9,0.072,56,reviewed,us,us
2019-01-07T17:15:44.420Z,26.7955,99.4683,10,4.5,mb,,121,5.322,1,us,us2000j159,2019-03-08T17:50:19.040Z,"39km N of Jinding, China",earthquake,11.5,1.9,0.115,22,reviewed,us,us
2019-01-03T00:48:08.370Z,28.1902,104.9182,10,4.8,mww,,20,4.507,0.59,us,us2000izyd,2019-03-08T17:50:14.040Z,"33km WSW of Zhongcheng, China",earthquake,6.2,1.8,0.071,19,reviewed,us,us
2018-12-23T20:32:19.670Z,26.4496,96.6002,115.7,4.7,mb,,32,3.035,1.36,us,us2000iwsy,2019-02-23T20:22:44.040Z,"120km ESE of Khonsa, India",earthquake,7.7,7.9,0.058,91,reviewed,us,us
2018-12-16T04:46:09.860Z,28.2948,105.0128,18.6,5.3,mww,,24,4.384,0.99,us,us2000iu11,2019-02-16T22:29:10.040Z,"21km W of Zhongcheng, China",earthquake,5.1,3.2,0.055,32,reviewed,us,us
2018-12-13T15:39:45.230Z,29.6624,98.825,22.78,4.7,mb,,34,6.697,1.15,us,us2000it8b,2019-02-16T22:29:07.040Z,"26km E of Gartog, China",earthquake,7.9,5.3,0.082,45,reviewed,us,us
2018-12-13T15:32:54.250Z,29.7432,98.7762,26.49,5.1,mww,,19,6.652,0.74,us,us2000it8a,2019-02-16T22:29:07.040Z,"22km ENE of Gartog, China",earthquake,6.8,4,0.068,21,reviewed,us,us
2018-11-28T10:17:06.970Z,27.1986,96.9185,11,5.4,mww,,18,3.783,0.83,us,us1000hxdh,2019-02-09T19:02:11.040Z,"108km SE of Tezu, India",earthquake,7.1,1.7,0.058,29,reviewed,us,us
2018-10-31T08:29:58.930Z,27.7933,102.2196,24.3,5.1,mb,,20,6.62,1.21,us,us2000i4he,2019-01-21T14:29:41.040Z,"12km SSW of Xichang, China",earthquake,7.4,4.3,0.036,247,reviewed,us,us
2018-10-29T21:00:06.410Z,28.15,103.5462,10,4.5,mb,,78,5.614,1.11,us,us1000hiqt,2019-01-21T14:29:38.040Z,"6km SSW of Xiluodu, China",earthquake,10,1.9,0.124,19,reviewed,us,us
2018-10-17T05:29:25.910Z,26.1495,102.2525,35,4.5,mb,,87,5.035,1.19,us,us1000hd7x,2018-12-21T22:27:03.040Z,"56km S of Huili Chengguanzhen, China",earthquake,5.2,2,0.11,24,reviewed,us,us
2018-09-21T01:51:58.380Z,29.365,104.4998,10,4.5,mb,,173,4.433,0.69,us,us1000h3c0,2018-11-27T15:51:55.040Z,"13km SE of Xuyang, China",earthquake,7.8,2,0.121,20,reviewed,us,us
2018-09-12T11:06:34.230Z,32.7234,105.6616,10,5,mww,,19,4.082,0.6,us,us2000hddm,2018-11-21T18:19:09.040Z,"17km ENE of Shazhou, China",earthquake,7.9,1.9,0.062,25,reviewed,us,us
2018-08-17T17:36:40.150Z,27.5438,104.0108,15.71,4.7,mb,,58,5.524,0.85,us,us1000gbnv,2018-10-27T16:22:05.040Z,"5km S of Jiaokui, China",earthquake,7.5,3.8,0.057,95,reviewed,us,us
2018-08-15T13:28:13.360Z,27.527,103.9975,10,4.8,mb,,59,5.542,0.88,us,us1000g9me,2018-10-27T16:22:03.040Z,"7km S of Jiaokui, China",earthquake,8.3,1.9,0.087,41,reviewed,us,us
2018-08-10T17:17:33.520Z,27.276,104.0029,16.03,4.5,mb,,77,5.671,0.82,us,us1000g6gj,2018-10-17T18:11:46.040Z,"28km E of Zhaotong, China",earthquake,10.4,5,0.099,30,reviewed,us,us
2018-07-22T23:02:03.470Z,29.5219,104.5491,10,4.7,mb,,49,4.359,0.45,us,us2000gbgk,2018-10-04T14:15:33.040Z,"10km W of Yanling, China",earthquake,8.7,1.9,0.05,123,reviewed,us,us
2018-07-02T03:24:43.280Z,30.3108,97.0786,10,4.5,mb,,73,5.197,0.94,us,us2000fyc6,2018-09-27T14:03:42.040Z,"33km NNE of Baima, China",earthquake,9.9,1.9,0.099,30,reviewed,us,us
2018-06-29T00:42:18.740Z,32.2028,104.6042,10,4.8,mb,,30,4.607,0.67,us,us2000fqsd,2018-09-21T16:25:58.040Z,"23km SSE of Long'an, China",earthquake,7.9,1.9,0.046,146,reviewed,us,us
2018-06-02T05:46:07.210Z,27.1823,96.9851,38.89,4.9,mww,,26,3.809,0.66,us,us1000ehai,2018-08-28T16:30:09.040Z,"114km SE of Tezu, India",earthquake,7.2,5.2,0.103,9,reviewed,us,us
2018-05-16T08:46:14.200Z,29.4033,102.3732,10,4.6,mb,,40,6.247,0.92,us,us1000e67v,2018-08-15T19:46:53.040Z,"18km N of Xinmian, China",earthquake,3.9,1.9,0.056,95,reviewed,us,us
2018-05-08T15:11:34.500Z,28.2104,103.5613,10,4.7,mb,,53,5.577,0.61,us,us1000e0pd,2018-08-08T15:19:34.040Z,"2km WNW of Xiluodu, China",earthquake,8.2,1.9,0.06,85,reviewed,us,us
2018-05-06T09:23:38.970Z,34.5599,96.5154,18.25,5,mb,,44,6.657,0.65,us,us1000dz95,2018-07-27T20:20:28.040Z,"178km NNW of Gyegu, China",earthquake,6,4.3,0.044,165,reviewed,us,us
2018-05-04T16:37:45.270Z,34.5942,96.5238,10,4.7,mb,,46,6.686,1.17,us,us1000dy0s,2018-07-27T20:20:30.040Z,"182km NNW of Gyegu, China",earthquake,6.3,1.7,0.076,52,reviewed,us,us
2018-04-02T11:42:10.860Z,26.4448,96.9676,10,4.9,mb,,64,3.269,0.95,us,us1000dcdk,2018-06-30T01:11:24.040Z,"125km NNW of Myitkyina, Burma",earthquake,4.9,1.9,0.066,72,reviewed,us,us
2018-02-18T03:44:11.920Z,32.3391,105.192,10,4.8,mb,,46,4.217,0.69,us,us2000d41s,2018-05-15T06:29:14.040Z,"2km SE of Suhe, China",earthquake,8.3,1.9,0.046,142,reviewed,us,us
2018-01-03T17:28:36.690Z,30.408,96.9096,10,4.5,mb,,55,6.577,1.31,us,us1000bzdq,2018-03-23T23:16:49.040Z,"39km N of Baima, China",earthquake,7.9,1.9,0.08,46,reviewed,us,us
2017-12-15T12:38:22.700Z,35.0011,101.7982,10,4.7,mb,,66,8.018,0.64,us,us2000c4tn,2018-03-06T00:49:42.040Z,"46km WSW of Duowa, China",earthquake,7.6,1.9,0.08,47,reviewed,us,us
2017-12-14T18:54:27.100Z,35.149,101.8832,8.62,5,mww,,25,8.044,0.8,us,us2000c4i9,2018-03-06T00:49:41.040Z,"33km W of Duowa, China",earthquake,7.3,3.9,0.065,23,reviewed,us,us
2017-11-23T09:43:34.700Z,29.3489,108.0576,10,5.1,mb,,40,1.553,0.98,us,us2000btg4,2018-02-14T02:01:12.040Z,"75km ESE of Fuling, China",earthquake,3.8,1.8,0.04,200,reviewed,us,us
2017-11-19T01:15:46.690Z,32.0922,104.5939,10,4.7,mb,,93,4.572,0.79,us,us2000bvfz,2018-02-14T02:01:02.040Z,"35km S of Long'an, China",earthquake,13,1.9,0.142,15,reviewed,us,us
2017-11-10T03:03:14.840Z,31.5074,104.1405,10,4.7,mb,,80,10.143,0.52,us,us2000bl9n,2018-01-31T03:04:46.040Z,"18km NNW of Jiannan, China",earthquake,4.8,1.9,0.074,56,reviewed,us,us
2017-11-06T21:31:11.080Z,33.1937,103.7094,10,4.8,mb,,42,5.721,0.77,us,us2000bjib,2018-01-31T03:04:41.040Z,"49km W of Yongle, China",earthquake,5.6,1.9,0.077,52,reviewed,us,us
2017-10-31T13:52:21.360Z,34.9094,103.2877,10,5,mb,,68,13.122,0.54,us,us1000az11,2018-01-24T01:25:01.040Z,"14km NNE of Wanmao, China",earthquake,10.9,4.5,0.053,114,reviewed,us,us
2017-09-30T06:14:36.830Z,32.2813,105.0428,10,5.1,mww,,19,4.303,0.67,us,us2000ax3v,2017-12-22T21:56:29.040Z,"5km S of Magong, China",earthquake,7.8,1.9,0.083,14,reviewed,us,us
2017-09-12T11:26:45.520Z,27.9136,101.6912,32.74,4.7,mb,,41,7.221,0.88,us,us2000akpn,2017-12-13T02:29:40.040Z,"40km E of Qiaowa, China",earthquake,6,5.4,0.053,110,reviewed,us,us
2017-08-09T21:05:57.870Z,33.3453,103.8816,10,4.6,mb,,47,11.473,0.59,us,us2000a6lx,2017-10-25T00:38:05.040Z,"33km WNW of Yongle, China",earthquake,7.7,1.9,0.066,69,reviewed,us,us
2017-08-09T02:17:03.920Z,33.2437,103.807,10,4.8,mb,,35,11.385,0.95,us,us2000a67c,2017-10-25T00:38:04.040Z,"39km W of Yongle, China",earthquake,7,1.8,0.057,96,reviewed,us,us
2017-08-09T00:29:05.050Z,33.2638,103.7895,10,4.8,mb,,52,11.376,0.95,us,us2000a82j,2017-10-25T00:38:03.040Z,"41km W of Yongle, China",earthquake,9.1,1.8,0.061,82,reviewed,us,us
2017-08-08T16:35:20.100Z,33.048,103.7529,10,4.7,mb,,170,20.205,0.25,us,us2000a7c5,2017-10-25T00:38:03.040Z,"47km NNE of Jin'an, China",earthquake,13.6,1.9,0.183,9,reviewed,us,us
2017-08-08T13:19:49.540Z,33.1926,103.8552,9,6.5,mww,,22,11.411,0.77,us,us2000a5x1,2018-02-12T10:36:12.079Z,"36km WSW of Yongle, China",earthquake,4.3,1.7,0.043,52,reviewed,us,us
2017-07-16T22:56:01.640Z,32.3516,105.5261,13.99,4.9,mb,,22,12.63,0.77,us,us20009wtv,2017-10-11T01:03:49.040Z,"6km N of Xiasi, China",earthquake,8.6,3.9,0.04,198,reviewed,us,us
2017-06-09T13:17:45.460Z,28.0901,104.9566,30.39,4.6,mb,,87,4.526,0.93,us,us20009mr9,2017-08-16T02:42:21.040Z,"26km N of Zhaxi, China",earthquake,12.7,6.5,0.182,9,reviewed,us,us
2017-05-18T23:07:04.660Z,30.3205,96.8954,28.76,4.5,mb,,48,5.04,0.71,us,us10008tg3,2017-08-05T03:32:11.040Z,"29km N of Baima, China",earthquake,8.7,5.4,0.059,83,reviewed,us,us
2017-05-15T16:20:00.430Z,33.0191,99.0333,16.74,4.5,mb,,51,9.326,0.89,us,us10008ska,2017-08-05T03:32:08.040Z,"87km E of Qumong, China",earthquake,9,4.3,0.081,45,reviewed,us,us
2017-05-04T05:40:22.770Z,28.1573,104.9116,10,4.9,mb,,32,4.527,0.5,us,us10008p5s,2017-07-29T03:16:20.040Z,"34km N of Zhaxi, China",earthquake,6.8,1.9,0.055,104,reviewed,us,us
